title,decade
'Gator Bait,1970s
...And Justice for All (film),1970s
10 (1979 film),1970s
11th Victim,1970s
1776 (film),1970s
1941 (film),1970s
200 Motels,1970s
21 Hours at Munich,1970s
3 Dev Adam,1970s
3 Women,1970s
40 Carats (film),1970s
92 in the Shade,1970s
99 and 44/100% Dead,1970s
A Boy and His Dog (1975 film),1970s
A Brand New Life (1973 film),1970s
A Bridge Too Far (film),1970s
A Bullet for Pretty Boy,1970s
A Case of Rape,1970s
A Delicate Balance (film),1970s
A Different Story,1970s
A Force of One,1970s
A Gunfight,1970s
A Little Night Music (film),1970s
A Little Romance,1970s
A Man Called Horse (film),1970s
"A Man, a Woman, and a Killer",1970s
A Matter of Time (film),1970s
A Name for Evil,1970s
A New Leaf (film),1970s
A Night Full of Rain,1970s
A Perfect Couple,1970s
A Piece of the Action (film),1970s
A Question of Love,1970s
"A Reason to Live, a Reason to Die",1970s
A Reflection of Fear,1970s
A Safe Place,1970s
A Star Is Born (1976 film),1970s
A Thief in the Night (film),1970s
A Very Natural Thing,1970s
A Walk in the Spring Rain,1970s
A Warm December,1970s
A Wedding (1978 film),1970s
A Woman Under the Influence,1970s
Aaron Loves Angela,1970s
Abby (film),1970s
Ace Eli and Rodger of the Skies,1970s
Across 110th Street,1970s
Across the Great Divide (film),1970s
Act of Vengeance (1974 film),1970s
Adam's Woman,1970s
Airport '77,1970s
Airport (1970 film),1970s
Airport 1975,1970s
Alex in Wonderland,1970s
Alexander: The Other Side of Dawn,1970s
Alice Doesn't Live Here Anymore,1970s
Alice in Wonderland (1976 film),1970s
"Alice, Sweet Alice",1970s
Alien (film),1970s
All Quiet on the Western Front (1979 film),1970s
All That Jazz (film),1970s
All the President's Men (film),1970s
Almost Summer,1970s
"Aloha, Bobby and Rose",1970s
Amazing Grace (1974 film),1970s
Amelia Earhart (film),1970s
American Graffiti,1970s
American Hot Wax,1970s
Americathon,1970s
An Almost Perfect Affair,1970s
An American Christmas Carol,1970s
An Unmarried Woman,1970s
Andy Warhol's Bad,1970s
Angel Unchained,1970s
Angels Hard as They Come,1970s
Angels Revenge,1970s
Angels' Wild Women,1970s
Animal House,1970s
Annie Hall,1970s
Another Nice Mess,1970s
Ape (1976 film),1970s
Apocalypse Now,1970s
Apotheosis (film),1970s
Are You in the House Alone?,1970s
Arnold (film),1970s
Ash Wednesday (1973 film),1970s
Assault on Precinct 13 (1976 film),1970s
At Long Last Love,1970s
Attack of the Killer Tomatoes,1970s
Auditions (film),1970s
Audrey Rose (film),1970s
Avalanche (1978 film),1970s
Avanti!,1970s
Axe (film),1970s
Baby Blue Marine,1970s
Bad Charleston Charlie,1970s
Bad Company (1972 film),1970s
Bad Ronald,1970s
Badge 373,1970s
Badlands (film),1970s
Bamboo Gods and Iron Men,1970s
Bananas (film),1970s
Bang the Drum Slowly (film),1970s
Bank Shot,1970s
Barbara Broadcast,1970s
Bare Knuckles,1970s
Barquero,1970s
Barracuda (1978 film),1970s
Barry Lyndon,1970s
Bat Pussy,1970s
Battle for the Planet of the Apes,1970s
Beast of the Yellow Night,1970s
Bedknobs and Broomsticks,1970s
Been Down So Long It Looks Like Up to Me (film),1970s
Behind the Green Door,1970s
Being There,1970s
Ben (film),1970s
Beneath the Planet of the Apes,1970s
Beneath the Valley of the Ultra-Vixens,1970s
Benji (1974 film),1970s
Between Time and Timbuktu,1970s
Between the Lines (1977 film),1970s
Beware! The Blob,1970s
Beyond Atlantis (film),1970s
Beyond Reason (1977 film),1970s
Beyond the Door (1974 film),1970s
Beyond the Poseidon Adventure,1970s
Beyond the Valley of the Dolls,1970s
Big Bad Mama,1970s
Big Jake,1970s
Big Wednesday,1970s
Bigfoot (1970 film),1970s
Billy Jack,1970s
Billy Jack Goes to Washington,1970s
Billy Two Hats,1970s
Birds of Prey (1973 film),1970s
Birth of the Beatles,1970s
Bite the Bullet (film),1970s
Bittersweet Love,1970s
Black Belt Jones,1970s
Black Caesar (film),1970s
Black Eye (film),1970s
Black Girl (1972 film),1970s
Black Gunn,1970s
Black Joy (film),1970s
Black Mama White Mama,1970s
Black Noon,1970s
Black Oak Conspiracy,1970s
Black Samson,1970s
Black Samurai,1970s
Black Shampoo,1970s
Black Snake (film),1970s
Black Sunday (1977 film),1970s
Blackenstein,1970s
Blacula,1970s
Blazing Saddles,1970s
Bleacher Bums,1970s
Bless the Beasts and Children (film),1970s
Blind Rage (film),1970s
Blood Freak,1970s
Blood Mania,1970s
Blood Sucking Freaks,1970s
Blood Thirst,1970s
Blood and Lace,1970s
Bloodline (1979 film),1970s
Bloodthirsty Butchers (film),1970s
Bloody Mama,1970s
Blue Collar (film),1970s
Blue Money (1972 film),1970s
Blue Sunshine (film),1970s
Blume in Love,1970s
Bobbie Jo and the Outlaw,1970s
Bog (film),1970s
Bone (film),1970s
Bonnie's Kids,1970s
Book of Numbers (film),1970s
Bootleggers (1974 film),1970s
Born Again (film),1970s
Born Innocent (film),1970s
Born to Win,1970s
Boss Nigger,1970s
Bound for Glory (1976 film),1970s
Boxcar Bertha,1970s
Boys in the Sand,1970s
Brain of Blood,1970s
Brass Target,1970s
Breaker! Breaker!,1970s
Breakheart Pass (film),1970s
Breaking Away,1970s
Breaking Point (1976 film),1970s
Breakout (1975 film),1970s
Breezy,1970s
Brewster McCloud,1970s
Brian's Song,1970s
Bring Me the Head of Alfredo Garcia,1970s
Brother John (film),1970s
Brotherhood of Death,1970s
Brute Corps,1970s
Buck Rogers in the 25th Century (film),1970s
Buck and the Preacher,1970s
Bucktown (film),1970s
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1970s
Buffalo Rider,1970s
Bug (1975 film),1970s
Bugsy Malone,1970s
Bukowski (film),1970s
Bunny O'Hare,1970s
Burnt Offerings (film),1970s
Bury Me an Angel,1970s
Buster and Billie,1970s
Butch and Sundance: The Early Days,1970s
Butterflies Are Free,1970s
C.B. Hustlers,1970s
C.C. and Company,1970s
C.H.O.M.P.S.,1970s
Cabaret (1972 film),1970s
Cage Without a Key,1970s
Caged Heat,1970s
Cahill U.S. Marshal,1970s
California Dreaming (1979 film),1970s
California Split,1970s
California Suite (film),1970s
Caligula (film),1970s
Can I Do It... 'Til I Need Glasses?,1970s
Cancel My Reservation,1970s
Candleshoe,1970s
Candy Stripe Nurses,1970s
Candy Stripers (film),1970s
Cannon for Cordoba,1970s
Cannonball (film),1970s
Capone (1975 film),1970s
Capricorn One,1970s
Captain America (1979 film),1970s
Captain America II: Death Too Soon,1970s
Captain Nemo (miniseries),1970s
Car Wash (film),1970s
Caravans (film),1970s
Carnal Knowledge (film),1970s
Carrie (1976 film),1970s
Carter's Army,1970s
Case of the Full Moon Murders,1970s
Casey's Shadow,1970s
Catch-22 (film),1970s
Catlow,1970s
Champions: A Love Story,1970s
Chandler (film),1970s
Chapter Two (film),1970s
Charge of the Model T's,1970s
Charley One-Eye,1970s
Charley Varrick,1970s
Chato's Land,1970s
Chatterbox (1977 film),1970s
Checkered Flag or Crash,1970s
Cheerleaders Beach Party,1970s
Child of Glass,1970s
Child's Play (1972 film),1970s
Children Shouldn't Play with Dead Things,1970s
Chilly Scenes of Winter (film),1970s
Chinatown (1974 film),1970s
Chisum,1970s
Chosen Survivors,1970s
Christmas Eve on Sesame Street,1970s
"Christmas Miracle in Caufield, U.S.A.",1970s
Chrome and Hot Leather,1970s
Cinderella (1977 film),1970s
Cinderella Liberty,1970s
Circle of Iron,1970s
Cisco Pike,1970s
City Beneath the Sea (1971 film),1970s
City on Fire (1979 film),1970s
Class of '44,1970s
Claudine (film),1970s
Clay Pigeon (film),1970s
Cleopatra Jones,1970s
Cleopatra Jones and the Casino of Gold,1970s
Close Encounters of the Third Kind,1970s
Coach (1978 film),1970s
Code Name: Diamond Head,1970s
Coffy,1970s
Cold Turkey (1971 film),1970s
Colossus: The Forbin Project,1970s
Coma (1978 film),1970s
"Come Back, Charleston Blue",1970s
Come Deadly,1970s
Comes a Horseman,1970s
Coming Home (1978 film),1970s
Conquest of the Planet of the Apes,1970s
Conrack,1970s
Contract on Cherry Street,1970s
Convoy (1978 film),1970s
Cool Breeze (film),1970s
Cooley High,1970s
Cops and Robbers (1973 film),1970s
Corky (film),1970s
"Cornbread, Earl and Me",1970s
Corvette Summer,1970s
Cotton Candy (film),1970s
Cotton Comes to Harlem,1970s
Count Dracula (1977 film),1970s
"Count Yorga, Vampire",1970s
Cover Girl Models,1970s
Cover Me Babe,1970s
Cowards (1970 film),1970s
Crazy Joe (film),1970s
Crazy Mama,1970s
Creature from Black Lake,1970s
Criminally Insane (film),1970s
Crisis in Mid-Air,1970s
Crucible of Horror,1970s
Cry Uncle!,1970s
"Cry for Me, Billy",1970s
Cuba (film),1970s
Curse of the Black Widow,1970s
Cycle Psycho,1970s
Damien: Omen II,1970s
Damnation Alley (film),1970s
Dark August,1970s
Dark Star (film),1970s
Darker than Amber (film),1970s
Darktown Strutters,1970s
Darling Lili,1970s
Daughters of Satan,1970s
Dawn of the Dead (1978 film),1970s
Dawn: Portrait of a Teenage Runaway,1970s
Day of the Animals,1970s
Days of Heaven,1970s
Deadhead Miles,1970s
Deadly Hero,1970s
Deadly Weapons,1970s
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues (film),1970s
Dear Dead Delilah,1970s
Death Bed: The Bed That Eats,1970s
Death Car on the Freeway,1970s
Death Dimension,1970s
Death Game,1970s
Death Journey,1970s
Death Line,1970s
Death Race 2000,1970s
Death Wish (1974 film),1970s
Death at Love House,1970s
Deathsport,1970s
Debbie Does Dallas,1970s
Deep Throat (film),1970s
Deliverance,1970s
Demented Death Farm Massacre,1970s
Demon Seed,1970s
Deranged (1974 film),1970s
Desperate Characters (film),1970s
Desperate Living,1970s
Detroit 9000,1970s
