method,N,dim,build_time,query_time
FAISS-IVF,1000,200,0.0032200419809669256,8.670694660395383e-06
FAISS-IVFPQ,1000,200,0.059261541930027306,1.6158411744982006e-05
FAISS-LSH,1000,200,0.00015287497080862522,0.00013041262282058596
FAISS-IVF,2000,200,0.004097375087440014,8.749798871576786e-06
FAISS-IVFPQ,2000,200,0.09232904191594571,1.5820900443941355e-05
FAISS-LSH,2000,200,0.00032841693609952927,0.00012268762802705168
FAISS-IVF,5000,200,0.008695833035744727,1.3195804785937072e-05
FAISS-IVFPQ,5000,200,0.21691724995616823,2.0816503092646598e-05
FAISS-LSH,5000,200,0.0005370840663090348,0.00014333740109577774
FAISS-IVF,10000,200,0.01810020802076906,2.4158111773431302e-05
FAISS-IVFPQ,10000,200,0.4020010830136016,2.0112295169383286e-05
FAISS-LSH,10000,200,0.0010252080392092466,0.00013106671394780278
FAISS-IVF,17830,200,0.028728666016831994,2.7670979034155607e-05
FAISS-IVFPQ,17830,200,0.6867963339900598,2.8770894277840853e-05
FAISS-LSH,17830,200,0.0022847079671919346,0.00013673340436071157
